Date,APOLLOHOSP,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,ITC,KOTAKBANK,LT,MARUTI,NESTLEIND,NTPC,ONGC,RELIANCE,SHREECEM,TATACONSUM,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
19-05-2020,1274.25,2509.300049,4535.450195,1964.949951,598.7999878,3104,594.9500122,123.5999985,471.75,2073.5,117.3000031,300.2999878,367.7999878,170.75,1130.449951,796.3499756,4805.299805,16150.2998,91.05000305,77.15000153,1408.900024,18340.75,358.0499878,272,1948.650024,512.5999756,826.7999878,3438.149902,184.3999939
20-05-2020,1288.449951,2557.75,4702.049805,2042.800049,594.0499878,3127.850098,620.6500244,123.25,479.25,2023.599976,120.8000031,305.6499939,357.2999878,175.75,1160.099976,835,4891.950195,16303.40039,92.90000153,78,1433.699951,19411.65039,360.75,283.2000122,1953.599976,519.2000122,848.7000122,3528.5,184.9499969
21-05-2020,1280.300049,2640.350098,4539.200195,1990.199951,594.5499878,3110.949951,616.5999756,124.5,493.7999878,2119.5,129.5,304.3999939,346.7999878,188.9499969,1150.25,820.5,5050.100098,16295.4502,90.25,77,1441.25,19251.15039,360.2999878,283.7000122,1991.199951,520.0499878,849.8499756,3571.5,189.1000061
22-05-2020,1280,2553.75,4315.549805,1895.300049,593.2000122,3167.100098,639.3499756,125.1999969,494.75,2150.600098,124.8499985,291.0499878,338.3500061,186.3500061,1160.199951,815.7000122,5134.299805,16215.15039,90.94999695,76.15000153,1431.550049,19910.25,362.4500122,274.4500122,2020.349976,529.6500244,849.6500244,3638.949951,189
26-05-2020,1321.75,2564.850098,4097.25,1829,559.25,3163.850098,627.7000122,127.25,507.4500122,2113.649902,129.1000061,292.7000122,348.2000122,191.6999969,1153.199951,825.5499878,5246.149902,16655.15039,93,77,1424.050049,20667.30078,371.9500122,280.4500122,1943,520.4500122,892.75,3786,188.8000031
27-05-2020,1337.599976,2580.550049,4258.049805,1936.449951,563.0999756,3220.300049,633.0499878,130.8000031,503.2999878,2175.649902,133.3000031,318.8500061,368.9500122,192.1499939,1217.550049,850.8499756,5244.399902,16716.5,94.69999695,77.94999695,1445.550049,20477.55078,368.5499878,287.9500122,2005.300049,523.75,885.8499756,3727.399902,201.25
28-05-2020,1337.050049,2600,4285.950195,1947.699951,562.75,3323.25,628.3499756,133.8999939,516.7999878,2298.100098,138.3999939,326.8500061,386.8500061,190.6499939,1229.449951,905.5,5468.350098,16989.15039,95.69999695,78.84999847,1472.25,20808.90039,371.1499939,295.5,2004.300049,529.7000122,899.4500122,3809.199951,199.3500061
29-05-2020,1356.949951,2710.5,4404.899902,1953.650024,552.5999756,3378.850098,648.1500244,141.3000031,523.2000122,2360.850098,138.8500061,331.9500122,393.6499939,197.3500061,1224,932.25,5610.799805,17540.80078,97.84999847,83.19999695,1464.400024,20857.30078,366.8999939,295.2000122,1972.349976,530.4500122,890,3904.850098,212.8000031
01-06-2020,1373.300049,2758.300049,4763.200195,2160.850098,559.0499878,3434.850098,642.5,148.5500031,516.0999756,2326.300049,139.1499939,339.25,410.1000061,200.5500031,1248.400024,928.1500244,5793.600098,17183.44922,97.90000153,83.94999695,1520.349976,21069.34961,362.8500061,315.2000122,2045.25,543.5499878,958.9000244,3815.699951,215.0500031
02-06-2020,1360.650024,2796.100098,5184.700195,2346.199951,558.0999756,3451,637.5999756,143.3999939,499.7000122,2318.25,141.1499939,348.3999939,434.7000122,197.25,1342.900024,945.4500122,5690.100098,17014.44922,96.75,84.30000305,1535.699951,21201,367.4500122,319.3999939,2047.150024,547.5,976.1500244,3834.25,215.8500061
03-06-2020,1349.800049,2783.399902,5286.049805,2411.899902,551.6500244,3510.300049,641.2000122,141.6999969,501.3500061,2300.199951,143.3500061,356.8500061,432.3500061,196.6999969,1386.550049,961.2999878,5624,17407.55078,94.69999695,86.30000305,1541.650024,21630.09961,366.6499939,317.3999939,2046.150024,553.25,984.3499756,3855.899902,211.3500061
04-06-2020,1364.25,2817.25,5136.799805,2313.050049,572.4500122,3450.350098,660.5499878,140.25,517.5999756,2329.25,142.6499939,347.8500061,415.0499878,200.1499939,1334.400024,930.7000122,5690.200195,17196.59961,95.15000153,84.90000153,1579.800049,21396.65039,381.5,319.9500122,2091.550049,582.0999756,971.25,3803.899902,216.25
05-06-2020,1359.050049,2776.300049,5236.399902,2390.350098,584.3499756,3466.699951,650.9000244,144.8500061,516.25,2340.649902,149.25,357.2000122,422.3500061,200,1337.800049,955.25,5746.200195,17096.84961,97.94999695,86.94999695,1581.699951,22089.59961,379.75,338.9500122,2048.25,579.8499756,990.9500122,3869.550049,218.75
08-06-2020,1364.050049,2801.050049,5440.950195,2507.25,585.1500244,3426.800049,635.0999756,146.6999969,522.0499878,2384.300049,146.3500061,359.7999878,451.6000061,197.6499939,1336.75,961.3499756,5734.799805,16836.19922,98.55000305,90.94999695,1569.5,21180.90039,379.4500122,333.6000061,2071.75,590,1025,3778.199951,226.4499969
09-06-2020,1364.550049,2791.149902,5310.799805,2443.600098,567.7999878,3415.699951,640.0499878,144.3000031,506.8500061,2387.300049,142.6000061,348.5499878,463.8999939,198.5,1304.150024,953.2999878,5662.299805,16552.55078,98,90,1537.150024,21009.80078,384.25,332.2000122,2072.050049,586.2000122,997.0999756,3791.350098,218.3500061
10-06-2020,1355.650024,2717.199951,5223,2435.649902,567.0999756,3377,642.9500122,140.6999969,501.7000122,2292.25,146.9499969,353,499.6000061,199.0500031,1332.25,946.5499878,5675.600098,16534.69922,98.15000153,88.25,1572.150024,21513.30078,384.6499939,324,2108.75,590.5,977.25,3792.449951,217
11-06-2020,1347.550049,2718.550049,5158,2338.899902,551.8499756,3370.350098,635,137.6999969,501.6499939,2309.949951,144.3999939,341.25,523.1500244,194.25,1298.699951,930.4500122,5426.149902,16608.25,98.05000305,86.90000153,1537.699951,21251.19922,375.7999878,313.1499939,2067.649902,571.8499756,951.25,3704.899902,212.8999939
12-06-2020,1403.599976,2782.149902,5285.950195,2450.149902,560.0999756,3366.050049,643.5999756,134.6499939,502.2999878,2401.850098,146.0500031,344.2000122,528.4500122,193.8999939,1279.800049,926.4000244,5561.75,16496.30078,96.90000153,83.90000153,1588.800049,22392.65039,371,317.6000061,2039.5,554.7000122,977.7000122,3788.550049,207.8999939
15-06-2020,1410.699951,2728.550049,5103.600098,2351.399902,550.7000122,3357.199951,643.6500244,132.1000061,499.8999939,2348.149902,145.8000031,331.1000061,490.5499878,187.1999969,1248.900024,899.9000244,5475.75,16400.30078,93.19999695,84.09999847,1614.550049,22117.25,370,306.2000122,2029.900024,548.7999878,948.4000244,3744.800049,213.8000031
16-06-2020,1372.75,2718.449951,5128.299805,2365,544.9000244,3345.350098,637.7999878,131.1499939,505.7000122,2395.949951,150.1000061,342.9500122,481.7999878,185,1276.800049,895.0499878,5502.200195,16342.09961,92.80000305,83.90000153,1617.699951,22111.30078,369.0499878,308.9500122,2045.800049,533.2999878,958.0499878,3779.949951,212.3999939
17-06-2020,1352.349976,2689.449951,5036.950195,2396,563.4500122,3401.449951,640.3499756,129.4499969,500.3999939,2363.300049,148,341.9500122,491.1499939,181.1999969,1243.800049,884.7999878,5726.200195,16198.15039,91.5,84.19999695,1615.349976,21635.40039,369.6000061,308.2000122,2047.800049,535.5499878,963,3809.199951,217.8000031
18-06-2020,1347.449951,2678.350098,5427.549805,2525.949951,560.9000244,3404.25,642.0499878,137.6000061,515.9500122,2364.949951,150.8000031,352,499.2000122,186.6000061,1303.349976,896.6500244,5714.399902,16178.9502,92.69999695,83.59999847,1655.900024,21866.09961,372.1499939,318.1000061,2038.099976,535.9000244,976,3844.25,218.1499939
